date,daily_return
2020-01-02,0
2020-01-03,-0.00972206988510338
2020-01-06,0.007968183976388987
2020-01-07,-0.004703012417522245
2020-01-08,0.016086031605702322
2020-01-09,0.021240710306938304
2020-01-10,0.0022611335302724633
2020-01-13,0.02136410825317947
2020-01-14,-0.013503338472060422
2020-01-15,-0.004285387913240846
2020-01-16,0.012526745551403984
2020-01-17,0.011070873768342482
2020-01-21,-0.0067767451290061675
2020-01-22,0.0035688878076405306
2020-01-23,0.004816179200429316
2020-01-24,-0.0028818360796938336
2020-01-27,-0.029405474668896092
2020-01-28,0.028289582185405893
2020-01-29,0.020932037148946536
2020-01-30,-0.001448863505835174
2020-01-31,-0.044338795854081514
2020-02-03,-0.0027465576088691046
2020-02-04,0.03301412664975367
2020-02-05,0.008154032750375961
2020-02-06,0.011696989125342228
2020-02-07,-0.013592689442174066
2020-02-10,0.004749630315795006
2020-02-11,-0.006033265741790861
2020-02-12,0.023747686839713955
2020-02-13,-0.007120779668239652
2020-02-14,2.461434443763455e-4
2020-02-18,-0.01831068780357603
2020-02-19,0.014482704117668721
2020-02-20,-0.010258712980943163
2020-02-21,-0.022635193888340677
2020-02-24,-0.04750052390915238
2020-02-25,-0.03387183128518678
2020-02-26,0.01586322263708828
2020-02-27,-0.06536795381063654
2020-02-28,-5.848234554797216e-4
2020-03-02,0.09310035631810565
2020-03-03,-0.031759040582984066
2020-03-04,0.046384562670364726
2020-03-05,-0.032436945025057895
2020-03-06,-0.013280143216786167
2020-03-09,-0.07909207751711977
2020-03-10,0.07202128467431912
2020-03-11,-0.034730337788626886
2020-03-12,-0.09875466225021212
2020-03-13,0.11980829144227045
2020-03-16,-0.12864699979073113
2020-03-17,0.04397006433535089
2020-03-18,-0.024479949391471134
2020-03-19,-0.0076620700188081425
2020-03-20,-0.06348549457815844
2020-03-23,-0.021244308827092606
2020-03-24,0.10032550067307167
2020-03-25,-0.005508748525597795
2020-03-26,0.05262306227254987
2020-03-27,-0.04140231540616057
2020-03-30,0.02853788141693747
2020-03-31,-0.0020405791977611276
2020-04-01,-0.05261715277720769
2020-04-02,0.01668657509119642
2020-04-03,-0.01437117257385323
2020-04-06,0.08723756066698973
2020-04-07,-0.011582516959625644
2020-04-08,0.025594721428577438
2020-04-09,0.007215927754412377
2020-04-13,0.019627658745727805
2020-04-14,0.05050322289077824
2020-04-15,-0.009127042154469467
2020-04-16,0.007945204413051021
2020-04-17,-0.013568516390302654
2020-04-20,-0.020756717433421223
2020-04-21,-0.030910384944037306
2020-04-22,0.028803755103137707
2020-04-23,-0.003875527159565517
2020-04-24,0.028869699110651403
2020-04-27,7.066997980171852e-4
2020-04-28,-0.016209328529559808
2020-04-29,0.0328450448795341
2020-04-30,0.021096407677505313
2020-05-01,-0.016099589726175867
2020-05-04,0.014148696563639485
2020-05-05,0.015009034898868068
2020-05-06,0.01031725766642766
2020-05-07,0.01034489398217131
2020-05-08,0.02380189677027511
2020-05-11,0.01573545435533208
2020-05-12,-0.01142836656375601
2020-05-13,-0.012074384603283028
2020-05-14,0.00614343227069214
2020-05-15,-0.00591208219823347
2020-05-18,0.023560968388401937
2020-05-19,-0.00577829442208444
2020-05-20,0.01944834565855058
2020-05-21,-0.00745544544964849
2020-05-22,0.006438169479024536
2020-05-26,-0.006773493127532393
2020-05-27,0.004357184987786145
2020-05-28,4.4030386917026654e-4
2020-05-29,-9.743878727863642e-4
2020-06-01,0.012297993115084394
2020-06-02,0.0046296491419113295
2020-06-03,0.005504922810199542
2020-06-04,-0.008612422921090213
2020-06-05,0.028481223888900065
2020-06-08,0.005912602125422994
2020-06-09,0.031577969476281886
2020-06-10,0.025727394530429715
2020-06-11,-0.04801030320423927
2020-06-12,0.008633267032191583
2020-06-15,0.012367261348364966
2020-06-16,0.02650242181536777
2020-06-17,-0.0013918382048566658
2020-06-18,3.982864083933446e-4
2020-06-19,-0.005714780283030407
2020-06-22,0.026164068502098292
2020-06-23,0.02134454568956934
2020-06-24,-0.017651938830022362
2020-06-25,0.013275488441915062
2020-06-26,-0.030725884793820102
2020-06-29,0.02304710331356752
2020-06-30,0.008347206395943996
2020-07-01,-0.0018912147669369883
2020-07-02,0
2020-07-06,0.02675009785892124
2020-07-07,-0.003102976580893313
2020-07-08,0.02329003988960321
2020-07-09,0.0043005951482377736
2020-07-10,0.0017491612064921558
2020-07-13,-0.0046132019895605
2020-07-14,0.01654838602828912
2020-07-15,0.006877463187179522
2020-07-16,-0.01230527052041197
2020-07-17,-0.0020201198181728497
2020-07-20,0.021074075208155962
2020-07-21,-0.013801726103783718
2020-07-22,0.002809399169571014
2020-07-23,-0.04551644760925122
2020-07-24,-0.0024772815343312438
2020-07-27,0.023699999437982955
2020-07-28,-0.01642757614810575
2020-07-29,0.019168320964824126
2020-07-30,0.012100424034719337
2020-07-31,0.10468854702833652
2020-08-03,0.025197612690556204
2020-08-04,0.006678018226202953
2020-08-05,0.003625014418937589
2020-08-06,0.03488903590933368
2020-08-07,-0.022735743544823217
2020-08-10,0.014535007091050822
2020-08-11,-0.029740171040447128
2020-08-12,0.03323432341809052
2020-08-13,0.017697782860840006
2020-08-14,-8.911411439160855e-4
2020-08-17,-0.0026111342028983797
2020-08-18,0.00833288341587779
2020-08-19,0.0012547397608835276
2020-08-20,0.022189682552479884
2020-08-21,0.0515324046032708
2020-08-24,0.011960316306890206
2020-08-25,-0.008203834035318436
2020-08-26,0.013598909796618708
2020-08-27,-0.011954143139359386
2020-08-28,-0.0016201892916117844
2020-08-31,0.03391235392078329
2020-09-01,0.03983280156514879
2020-09-02,-0.0207183424152666
2020-09-03,-0.08006109040208842
2020-09-04,6.618689687003521e-4
2020-09-08,-0.06729514018917859
2020-09-09,0.03988684799874953
2020-09-10,-0.03264603473577765
2020-09-11,-0.013128913416109667
2020-09-14,0.030000345118363914
2020-09-15,0.001560139480373035
2020-09-16,-0.02951348670135212
2020-09-17,-0.015963680326211538
2020-09-18,-0.03172021457261309
2020-09-21,0.030325579709194583
2020-09-22,0.01571581602978056
2020-09-23,-0.041945826853127643
2020-09-24,0.010268597695499926
2020-09-25,0.037516325567719555
2020-09-28,0.023868764773368634
2020-09-29,-0.007567826973671088
2020-09-30,0.015075808228951715
2020-10-01,0.008462252946371374
2020-10-02,-0.03228008237558322
2020-10-05,0.030790632918410665
2020-10-06,-0.02866942611278267
2020-10-07,0.016967301626215736
2020-10-08,-9.557232850339048e-4
2020-10-09,0.017395657450211433
2020-10-12,0.06352067338936118
2020-10-13,-0.02652735810006479
2020-10-14,7.430954400813317e-4
2020-10-15,-0.003960535990372049
2020-10-16,-0.014000668214006695
2020-10-19,-0.025541888992946737
2020-10-20,0.013191993903033383
2020-10-21,-0.005446333082422039
2020-10-22,-0.009583428170463981
2020-10-23,-0.006133906173114934
2020-10-26,8.711322378740505e-5
2020-10-27,0.013472292709969969
2020-10-28,-0.04631231944142222
2020-10-29,0.037050537819083296
2020-10-30,-0.05601807937681991
2020-11-02,-8.267199473884768e-4
2020-11-03,0.015353511462099956
2020-11-04,0.04083650798312388
2020-11-05,0.03549380063311669
2020-11-06,-0.0011361769481013084
2020-11-09,-0.019968052334579767
2020-11-10,-0.003008867291014794
2020-11-11,0.030352688226838564
2020-11-12,-0.0023433663789865777
2020-11-13,4.194082243567099e-4
2020-11-16,0.008720587341817465
2020-11-17,-0.007564497639487411
2020-11-18,-0.011391204139943767
2020-11-19,0.00516810782295285
2020-11-20,-0.010957468047811503
2020-11-23,-0.029742597352375166
2020-11-24,0.011594085851719615
2020-11-25,0.007467186100938994
2020-11-27,0.004826558895349775
2020-11-30,0.02109950315490905
2020-12-01,0.03082746602762998
2020-12-02,0.002933471519685371
2020-12-03,-0.001137443590740972
2020-12-04,-0.005612510964532413
2020-12-07,0.012269939833459143
2020-12-08,0.005090910845967578
2020-12-09,-0.020903709492270606
2020-12-10,0.011988952515278761
2020-12-11,-0.006735006198588134
2020-12-14,-0.005146576374951972
2020-12-15,0.05009035870897405
2020-12-16,-5.473132517836987e-4
2020-12-17,0.006963157748136384
2020-12-18,-0.015850586402329392
2020-12-21,0.012395252534020518
